Freq[Hz]     dBSPL  Phase[Deg]
14481.5     96.497  -109.076
14692.2     96.899  -103.226
14905.9     98.016   -99.379
15122.7     99.549   -99.042
15342.7    101.134  -102.171
15565.8    102.463  -107.978
15792.2    103.374  -115.448
16021.9    103.767  -123.807
16255.0    103.746  -132.655
16491.4    103.365  -141.476
16731.3    102.741  -149.805
16974.7    102.013  -157.191
17221.6    101.174  -163.654
17472.1    100.268  -169.190
17726.2     99.355  -173.889
17984.0     98.538  -177.953
18245.6     97.850   178.214
18511.0     97.235   174.231
18780.2     96.633   169.995
19053.4     95.945   165.599
19330.5     95.020   161.312
19611.7     93.823   157.465
19897.0     92.430   154.432
20186.4     91.073   152.282
20480.0     89.975   150.609
20777.9     89.022   148.882
21080.1     87.988   147.160
21386.7     86.600   145.891
21697.8     84.689   146.041
22013.4     82.274   149.497
22333.6     79.969   158.036
22658.4     78.589   170.904
22988.0     78.153  -175.298
23322.4     78.355  -164.009
23661.6     78.935  -155.896
24005.8     79.669  -150.691
24355.0     80.309  -147.657
24709.2     80.770  -146.091
25068.6     81.038  -145.474
25433.2     81.169  -145.291
25803.2     81.193  -145.067
26178.5     81.086  -144.412
26559.3     80.869  -142.999
26945.6     80.650  -140.595
27337.5     80.642  -137.375
27735.2     81.104  -134.436
28138.6     82.055  -133.241
28547.9     83.191  -134.533
28963.1     84.100  -137.881
29384.4     84.564  -142.470
29811.8     84.621  -147.728
30245.4     84.270  -153.070
30685.3     83.713  -157.868
31131.7     83.134  -161.803
31584.5     82.548  -164.955
32043.9     81.964  -167.416
32510.0     81.380  -169.405
32982.8     80.796  -171.017
33462.6     80.211  -172.310
33949.3     79.627  -173.323
34443.1     79.043  -174.082
34944.1     78.459  -174.603
35452.4     77.874  -174.894
35968.0     77.290  -174.959
36491.2     76.706  -174.791
37022.0     76.122  -174.375
37560.5     75.537  -173.679
38106.8     74.960  -172.810
38661.1     74.405  -171.765
39223.4     73.974  -170.839
39793.9     73.674  -170.025
