Freq[Hz]     dBSPL  Phase[Deg]
2597.24     98.395   -41.857
2635.01     99.020   -42.266
2673.34     99.733   -43.965
2712.23    100.390   -46.937
2751.68    100.941   -50.999
2791.70    101.331   -56.021
2832.31    101.520   -61.644
2873.50    101.489   -67.505
2915.30    101.250   -73.367
2957.70    100.734   -78.864
3000.72    100.001   -83.613
3044.37     99.086   -87.208
3088.65     98.028   -89.307
3133.58     97.004   -89.710
3179.16     96.164   -88.669
3225.40     95.648   -86.774
3272.31     95.406   -84.816
3319.91     95.262   -83.199
3368.20     95.112   -81.919
3417.19     94.950   -80.792
3466.89     94.814   -79.671
3517.32     94.774   -78.560
3568.48     94.835   -77.619
3620.39     94.900   -76.891
3673.05     94.963   -76.319
3726.47     95.084   -75.982
3780.67     95.233   -75.922
3835.67     95.416   -76.086
3891.46     95.641   -76.581
3948.06     95.835   -77.462
4005.49     95.972   -78.554
4063.75     96.119   -79.787
4122.86     96.245   -81.207
4182.82     96.356   -82.775
4243.66     96.490   -84.510
4305.39     96.582   -86.386
4368.01     96.595   -88.220
4431.55     96.523   -89.821
4496.01     96.388   -91.012
4561.40     96.311   -91.755
4627.75     96.397   -92.319
4695.06     96.668   -93.102
4763.35     97.075   -94.477
4832.64     97.497   -96.594
4902.93     97.820   -99.313
4974.24     98.061  -102.432
5046.60     98.237  -105.827
5120.00     98.429  -109.485
5194.47     98.687  -113.535
5270.03     99.000  -118.171
5346.68     99.312  -123.521
5424.45     99.505  -129.533
5503.35     99.510  -136.052
5583.40     99.334  -142.909
5664.61     98.973  -149.886
5747.01     98.417  -156.559
5830.60     97.615  -162.399
5915.41     96.597  -167.222
6001.45     95.448  -170.923
6088.74     94.374  -173.373
6177.30     93.643  -174.797
6267.15     93.096  -175.830
6358.31     92.507  -176.733
6450.80     91.931  -177.501
6544.62     91.526  -178.246
6639.82     91.317  -179.300
6736.40     91.289   178.864
6834.38     91.303   175.995
6933.79     91.279   172.091
7034.64     91.103   167.354
7136.96     90.688   162.117
7240.77     90.097   156.634
7346.09     89.298   151.167
7452.94     88.304   146.170
7561.35     87.179   141.957
7671.33     85.835   138.707
7782.91     84.363   136.690
7896.12     83.018   135.795
8010.97     81.950   135.495
8127.49     81.078   135.232
8245.71     80.179   134.731
8365.65     79.088   134.116
