Freq[Hz]  Imp[Ohm]  Phase[Deg]
604.080      4.327    14.789
612.866      4.327    15.337
621.780      4.327    15.878
630.824      4.327    16.444
640.000      4.330    17.054
649.309      4.346    17.672
658.753      4.385    18.202
668.335      4.434    18.583
678.056      4.483    18.811
687.919      4.518    18.906
697.925      4.531    18.945
708.077      4.533    19.021
718.376      4.533    19.168
728.825      4.533    19.388
739.426      4.533    19.672
750.181      4.533    20.010
761.093      4.533    20.409
772.163      4.533    20.886
783.394      4.535    21.445
794.789      4.544    22.066
806.349      4.575    22.671
818.078      4.624    23.169
829.977      4.673    23.554
842.050      4.716    23.852
854.298      4.736    24.122
866.724      4.742    24.471
879.330      4.758    24.916
892.120      4.797    25.385
905.097      4.847    25.823
918.262      4.898    26.207
931.618      4.947    26.515
945.169      4.996    26.737
958.917      5.047    26.901
972.864      5.097    27.047
987.015      5.134    27.197
1001.37      5.153    27.399
1015.94      5.181    27.682
1030.71      5.232    27.976
1045.71      5.292    28.244
1060.92      5.372    28.420
1076.35      5.446    28.444
1092.00      5.504    28.386
1107.89      5.571    28.252
1124.00      5.639    27.989
1140.35      5.691    27.654
1156.94      5.740    27.264
1173.77      5.765    26.812
1190.84      5.768    26.370
1208.16      5.763    25.983
1225.73      5.738    25.705
1243.56      5.690    25.616
1261.65      5.640    25.720
1280.00      5.592    26.021
1298.62      5.568    26.510
1317.51      5.566    27.092
1336.67      5.577    27.690
1356.11      5.612    28.228
1375.84      5.661    28.650
1395.85      5.710    28.970
1416.15      5.749    29.219
1436.75      5.767    29.460
1457.65      5.772    29.772
1478.85      5.792    30.161
1500.36      5.834    30.561
1522.19      5.884    30.938
1544.33      5.935    31.277
1566.79      5.984    31.558
1589.58      6.033    31.789
1612.70      6.085    31.998
1636.16      6.136    32.201
1659.95      6.185    32.384
1684.10      6.234    32.536
1708.60      6.286    32.678
1733.45      6.337    32.831
1758.66      6.387    32.986
1784.24      6.438    33.117
1810.19      6.501    33.202
1836.52      6.585    33.189
1863.24      6.672    33.020
1890.34      6.737    32.716
1917.83      6.775    32.342
1945.73      6.773    31.998
1974.03      6.733    31.826
2002.74      6.685    31.884
2031.87      6.638    32.172
2061.43      6.626    32.636
2091.41      6.657    33.134
2121.83      6.705    33.574
2152.69      6.754    33.952
2184.01      6.787    34.292
2215.77      6.803    34.674
2248.00      6.832    35.125
2280.70      6.886    35.596
2313.87      6.961    36.043
2347.53      7.059    36.391
2381.68      7.145    36.627
2416.32      7.235    36.770
2451.46      7.321    36.811
2487.12      7.408    36.766
2523.30      7.497    36.635
2560.00      7.561    36.441
2597.24      7.603    36.239
2635.01      7.620    36.074
2673.34      7.623    36.005
2712.23      7.624    36.061
2751.68      7.624    36.241
2791.70      7.628    36.534
2832.31      7.654    36.903
2873.50      7.704    37.280
2915.30      7.759    37.653
2957.70      7.836    37.984
3000.72      7.914    38.219
3044.37      7.994    38.378
3088.65      8.090    38.445
3133.58      8.162    38.446
3179.16      8.214    38.444
3225.40      8.242    38.479
3272.31      8.268    38.581
3319.91      8.316    38.733
3368.20      8.366    38.914
3417.19      8.418    39.121
3466.89      8.466    39.334
3517.32      8.517    39.556
3568.48      8.571    39.810
3620.39      8.646    40.068
3673.05      8.728    40.275
3726.47      8.811    40.432
