Freq[Hz]  Imp[Ohm]  Phase[Deg]
3417.19      7.502    -3.226
3466.89      7.469    -2.624
3517.32      7.436    -1.987
3568.48      7.420    -1.320
3620.39      7.417    -0.664
3673.05      7.416    -0.041
3726.47      7.416     0.561
3780.67      7.417     1.136
3835.67      7.422     1.684
3891.46      7.450     2.161
3948.06      7.482     2.532
4005.49      7.483     2.876
4063.75      7.482     3.215
4122.86      7.450     3.570
4182.82      7.422     4.020
4243.66      7.417     4.534
4305.39      7.417     5.072
4368.01      7.418     5.621
4431.55      7.429     6.157
4496.01      7.454     6.652
4561.40      7.487     7.085
4627.75      7.519     7.458
4695.06      7.543     7.785
4763.35      7.552     8.099
4832.64      7.557     8.431
4902.93      7.573     8.762
4974.24      7.606     9.044
5046.60      7.636     9.269
5120.00      7.652     9.468
5194.47      7.636     9.697
5270.03      7.609    10.005
5346.68      7.593    10.394
5424.45      7.609    10.811
5503.35      7.640    11.196
5583.40      7.671    11.514
5664.61      7.688    11.770
5747.01      7.690    12.010
5830.60      7.691    12.269
5915.41      7.691    12.554
6001.45      7.691    12.863
6088.74      7.691    13.189
6177.30      7.691    13.531
6267.15      7.691    13.887
6358.31      7.691    14.261
6450.80      7.691    14.653
6544.62      7.691    15.067
6639.82      7.691    15.510
6736.40      7.691    16.000
6834.38      7.692    16.544
6933.79      7.697    17.136
7034.64      7.731    17.727
7136.96      7.796    18.224
7240.77      7.862    18.614
7346.09      7.927    18.904
7452.94      7.960    19.115
7561.35      7.969    19.335
7671.33      7.979    19.606
7782.91      7.995    19.920
7896.12      8.017    20.258
8010.97      8.042    20.592
8127.49      8.065    20.918
8245.71      8.083    21.244
8365.65      8.095    21.593
8487.33      8.101    21.993
8610.78      8.104    22.465
8736.03      8.109    23.013
8863.09      8.143    23.594
8992.01      8.209    24.120
9122.80      8.278    24.570
9255.50      8.359    24.922
9390.12      8.424    25.154
9526.70      8.462    25.347
9665.27      8.495    25.561
9805.86      8.512    25.813
9948.49      8.518    26.142
10093.2      8.535    26.544
10240.0      8.568    26.981
10388.9      8.605    27.445
10540.1      8.656    27.913
10693.4      8.709    28.350
10848.9      8.765    28.763
11006.7      8.846    29.117
11166.8      8.928    29.387
11329.2      8.994    29.607
11494.0      9.045    29.803
11661.2      9.081    30.001
11830.8      9.116    30.226
12002.9      9.151    30.492
12177.5      9.188    30.799
12354.6      9.224    31.121
12534.3      9.262    31.452
12716.6      9.312    31.784
12901.6      9.375    32.088
13089.2      9.422    32.374
13279.6      9.458    32.675
13472.8      9.480    33.021
13668.8      9.503    33.437
13867.6      9.540    33.919
14069.3      9.593    34.440
14273.9      9.674    34.945
14481.5      9.771    35.382
14692.2      9.878    35.736
14905.9      9.984    35.998
15122.7     10.084    36.166
15342.7     10.169    36.267
15565.8     10.233    36.351
15792.2     10.279    36.458
16021.9     10.298    36.624
16255.0     10.309    36.887
16491.4     10.332    37.243
16731.3     10.368    37.668
16974.7     10.420    38.132
17221.6     10.498    38.577
17472.1     10.583    38.975
17726.2     10.674    39.331
17984.0     10.758    39.647
18245.6     10.828    39.945
18511.0     10.899    40.242
18780.2     10.968    40.545
19053.4     11.044    40.858
19330.5     11.117    41.174
19611.7     11.182    41.504
19897.0     11.245    41.861
20186.4     11.323    42.222
20480.0     11.409    42.576
20777.9     11.501    42.921
21080.1     11.586    43.257
21386.7     11.657    43.598
21697.8     11.736    43.951
22013.4     11.822    44.312
22333.6     11.916    44.679
22658.4     12.010    45.043
22988.0     12.097    45.406
23322.4     12.186    45.776
23661.6     12.281    46.156
24005.8     12.390    46.528
24355.0     12.500    46.880
24709.2     12.604    47.223
25068.6     12.705    47.564
25433.2     12.799    47.915
25803.2     12.884    48.301
26178.5     12.976    48.724
26559.3     13.073    49.179
26945.6     13.174    49.673
27337.5     13.283    50.199
27735.2     13.398    50.758
28138.6     13.533    51.350
28547.9     13.665    52.014
28963.1     13.794    52.807
29384.4     13.954    53.694
29811.8     14.243    54.532
30245.4     14.738    55.056
30685.3     15.301    55.112
31131.7     15.811    54.757
31584.5     16.164    54.092
32043.9     16.226    53.428
32510.0     16.185    53.052
32982.8     16.233    52.910
33462.6     16.332    52.922
33949.3     16.546    52.998
34443.1     16.775    52.970
34944.1     16.914    52.853
35452.4     17.009    52.742
35968.0     17.095    52.685
36491.2     17.179    52.702
37022.0     17.264    52.784
37560.5     17.349    52.923
38106.8     17.432    53.087
38661.1     17.512    53.278
39223.4     17.572    53.438
39793.9     17.612    53.573
