Freq[Hz]     dBSPL  Phase[Deg]
10693.4    101.669   -55.587
10848.9    101.817   -58.211
11006.7    101.749   -60.787
11166.8    101.577   -62.990
11329.2    101.462   -64.728
11494.0    101.502   -66.246
11661.2    101.632   -67.869
11830.8    101.733   -69.693
12002.9    101.748   -71.638
12177.5    101.672   -73.565
12354.6    101.600   -75.444
12534.3    101.655   -77.459
12716.6    101.823   -79.858
12901.6    101.951   -82.638
13089.2    101.880   -85.520
13279.6    101.570   -88.158
13472.8    101.101   -90.212
13668.8    100.699   -91.523
13867.6    100.553   -92.371
14069.3    100.604   -93.255
14273.9    100.691   -94.494
14481.5    100.721   -96.186
14692.2    100.712   -98.269
14905.9    100.718  -100.645
15122.7    100.738  -103.236
15342.7    100.666  -105.840
15565.8    100.445  -108.215
15792.2    100.131  -110.236
16021.9     99.894  -111.974
16255.0     99.931  -113.820
16491.4    100.174  -116.267
16731.3    100.409  -119.510
16974.7    100.469  -123.444
17221.6    100.290  -127.771
17472.1     99.952  -132.173
17726.2     99.612  -136.608
17984.0     99.392  -141.345
18245.6     99.252  -146.597
18511.0     99.027  -152.391
18780.2     98.517  -158.419
19053.4     97.531  -164.116
19330.5     96.038  -168.623
19611.7     94.101  -170.840
19897.0     92.056  -169.722
20186.4     90.498  -165.214
20480.0     89.806  -159.200
20777.9     89.654  -154.135
21080.1     89.626  -150.795
21386.7     89.603  -148.891
21697.8     89.528  -147.858
22013.4     89.398  -147.331
22333.6     89.207  -147.081
22658.4     88.979  -146.933
22988.0     88.746  -146.808
23322.4     88.511  -146.696
23661.6     88.276  -146.601
24005.8     88.042  -146.534
24355.0     87.807  -146.496
24709.2     87.572  -146.485
25068.6     87.338  -146.498
25433.2     87.103  -146.531
25803.2     86.868  -146.584
26178.5     86.634  -146.652
26559.3     86.399  -146.734
26945.6     86.164  -146.829
27337.5     85.930  -146.934
27735.2     85.695  -147.049
28138.6     85.460  -147.171
28547.9     85.225  -147.300
28963.1     84.991  -147.434
29384.4     84.756  -147.573
29811.8     84.521  -147.716
30245.4     84.287  -147.862
30685.3     84.052  -148.011
31131.7     83.817  -148.161
31584.5     83.583  -148.313
32043.9     83.348  -148.466
32510.0     83.113  -148.618
32982.8     82.879  -148.771
33462.6     82.644  -148.924
33949.3     82.409  -149.075
34443.1     82.175  -149.225
34944.1     81.940  -149.374
35452.4     81.705  -149.520
35968.0     81.470  -149.664
36491.2     81.236  -149.806
37022.0     81.001  -149.943
37560.5     80.766  -150.080
38106.8     80.535  -150.203
38661.1     80.313  -150.320
39223.4     80.144  -150.410
39793.9     80.029  -150.481
