Freq[Hz]     dBSPL  Phase[Deg]
8127.49     71.035  -170.120
8245.71     70.358  -171.182
8365.65     69.333  -171.851
8487.33     68.001  -171.398
8610.78     66.356  -168.754
8736.03     64.488  -161.635
8863.09     62.786  -146.934
8992.01     62.342  -123.850
9122.80     63.805  -104.371
9255.50     65.744   -94.906
9390.12     67.400   -91.532
9526.70     68.551   -91.156
9665.27     69.295   -91.794
9805.86     69.789   -92.397
9948.49     70.169   -92.580
10093.2     70.549   -92.248
10240.0     71.024   -91.718
10388.9     71.652   -91.521
10540.1     72.412   -92.170
10693.4     73.187   -93.894
10848.9     73.810   -96.544
11006.7     74.215   -99.785
11166.8     74.350  -103.201
11329.2     74.255  -106.314
11494.0     74.001  -108.671
11661.2     73.668  -109.961
11830.8     73.380  -110.076
12002.9     73.242  -109.254
12177.5     73.369  -108.026
12354.6     73.788  -107.137
12534.3     74.347  -107.038
12716.6     74.905  -107.740
12901.6     75.391  -109.051
13089.2     75.863  -110.841
13279.6     76.421  -113.239
13472.8     77.200  -116.698
13668.8     78.253  -121.881
13867.6     79.378  -129.127
14069.3     80.319  -138.259
14273.9     80.901  -148.707
14481.5     80.988  -160.163
14692.2     80.505  -171.830
14905.9     79.441   176.680
15122.7     77.833   166.039
15342.7     75.582   157.411
15565.8     72.955   151.764
15792.2     70.087   150.311
16021.9     67.269   154.011
16255.0     65.596   161.225
16491.4     64.703   169.006
16731.3     63.958   176.051
16974.7     63.230  -177.054
17221.6     62.750  -169.745
17472.1     62.766  -162.826
17726.2     63.195  -157.578
17984.0     63.689  -154.386
18245.6     64.047  -152.725
18511.0     64.253  -151.989
18780.2     64.361  -151.778
19053.4     64.488  -151.928
19330.5     64.639  -152.445
19611.7     64.764  -153.360
19897.0     64.771  -154.615
20186.4     64.650  -156.023
20480.0     64.443  -157.363
20777.9     64.198  -158.510
21080.1     63.947  -159.436
21386.7     63.695  -160.192
21697.8     63.443  -160.829
22013.4     63.191  -161.387
22333.6     62.939  -161.887
22658.4     62.687  -162.342
22988.0     62.435  -162.762
23322.4     62.183  -163.154
23661.6     61.931  -163.522
24005.8     61.679  -163.869
24355.0     61.427  -164.200
24709.2     61.175  -164.516
25068.6     60.923  -164.819
25433.2     60.671  -165.110
25803.2     60.419  -165.390
26178.5     60.167  -165.661
26559.3     59.915  -165.924
26945.6     59.663  -166.179
27337.5     59.411  -166.427
27735.2     59.159  -166.668
28138.6     58.907  -166.904
28547.9     58.655  -167.133
28963.1     58.403  -167.357
29384.4     58.151  -167.575
29811.8     57.900  -167.789
30245.4     57.648  -167.998
30685.3     57.396  -168.203
31131.7     57.144  -168.404
31584.5     56.892  -168.601
32043.9     56.640  -168.795
32510.0     56.388  -168.984
32982.8     56.136  -169.170
33462.6     55.884  -169.353
33949.3     55.632  -169.532
34443.1     55.380  -169.709
34944.1     55.128  -169.883
35452.4     54.876  -170.053
35968.0     54.624  -170.221
36491.2     54.372  -170.387
37022.0     54.120  -170.551
37560.5     53.868  -170.717
38106.8     53.619  -170.869
38661.1     53.381  -171.017
39223.4     53.199  -171.133
39793.9     53.075  -171.225
