Freq[Hz]  Imp[Ohm]  Phase[Deg]
3179.16      7.167     3.995
3225.40      7.149     4.698
3272.31      7.146     5.390
3319.91      7.146     6.044
3368.20      7.146     6.659
3417.19      7.146     7.241
3466.89      7.146     7.804
3517.32      7.146     8.351
3568.48      7.146     8.888
3620.39      7.146     9.416
3673.05      7.146     9.939
3726.47      7.146    10.458
3780.67      7.146    10.975
3835.67      7.146    11.493
3891.46      7.146    12.013
3948.06      7.146    12.539
4005.49      7.146    13.077
4063.75      7.146    13.636
4122.86      7.146    14.222
4182.82      7.149    14.832
4243.66      7.168    15.435
4305.39      7.205    15.974
4368.01      7.242    16.439
4431.55      7.279    16.832
4496.01      7.297    17.165
4561.40      7.300    17.494
4627.75      7.301    17.851
4695.06      7.301    18.240
4763.35      7.301    18.658
4832.64      7.301    19.096
4902.93      7.301    19.552
4974.24      7.301    20.023
5046.60      7.301    20.511
5120.00      7.301    21.018
5194.47      7.301    21.548
5270.03      7.301    22.110
5346.68      7.302    22.711
5424.45      7.305    23.346
5503.35      7.323    23.986
5583.40      7.360    24.578
5664.61      7.398    25.112
5747.01      7.434    25.594
5830.60      7.453    26.047
5915.41      7.456    26.528
6001.45      7.460    27.068
6088.74      7.479    27.640
6177.30      7.516    28.187
6267.15      7.553    28.691
6358.31      7.590    29.155
6450.80      7.608    29.596
6544.62      7.612    30.071
6639.82      7.615    30.608
6736.40      7.634    31.180
6834.38      7.671    31.730
6933.79      7.708    32.241
7034.64      7.745    32.710
7136.96      7.763    33.149
7240.77      7.766    33.614
7346.09      7.767    34.147
7452.94      7.768    34.754
7561.35      7.771    35.435
7671.33      7.789    36.159
7782.91      7.827    36.876
7896.12      7.867    37.569
8010.97      7.923    38.211
8127.49      7.978    38.764
8245.71      8.018    39.273
8365.65      8.056    39.772
8487.33      8.074    40.285
8610.78      8.078    40.867
8736.03      8.081    41.540
8863.09      8.100    42.287
8992.01      8.138    43.061
9122.80      8.178    43.847
9255.50      8.234    44.621
9390.12      8.292    45.344
9526.70      8.351    46.041
9665.27      8.424    46.698
9805.86      8.483    47.321
9948.49      8.542    47.936
10093.2      8.601    48.524
10240.0      8.654    49.108
10388.9      8.720    49.679
10540.1      8.776    50.226
10693.4      8.816    50.793
10848.9      8.846    51.409
11006.7      8.875    52.081
11166.8      8.917    52.797
11329.2      8.970    53.537
11494.0      9.041    54.261
11661.2      9.100    54.959
11830.8      9.159    55.653
12002.9      9.218    56.339
12177.5      9.264    57.057
12354.6      9.322    57.816
12534.3      9.382    58.579
12716.6      9.446    59.349
12901.6      9.539    60.080
13089.2      9.632    60.734
13279.6      9.707    61.352
13472.8      9.762    61.968
13668.8      9.786    62.632
13867.6      9.808    63.388
14069.3      9.846    64.218
14273.9      9.887    65.113
14481.5      9.942    66.049
14692.2      9.998    66.996
14905.9     10.042    67.987
15122.7     10.101    69.023
15342.7     10.175    70.062
15565.8     10.253    71.103
15792.2     10.331    72.162
16021.9     10.405    73.243
16255.0     10.467    74.356
16491.4     10.530    75.533
16731.3     10.623    76.747
16974.7     10.717    77.970
17221.6     10.800    79.234
17472.1     10.879    80.556
17726.2     10.941    81.968
17984.0     11.004    83.518
18245.6     11.093    85.197
18511.0     11.184    87.021
18780.2     11.265    89.091
19053.4     11.347    91.567
19330.5     11.442    94.573
19611.7     11.698    97.933
19897.0     12.452   101.002
20186.4     13.600   102.963
20480.0     14.709   103.832
20777.9     15.635   103.941
21080.1     16.116   103.696
21386.7     16.322   103.699
21697.8     16.639   104.192
22013.4     17.130   105.006
22333.6     17.813   105.910
22658.4     18.600   106.637
22988.0     19.402   107.124
23322.4     20.207   107.415
23661.6     21.012   107.562
24005.8     21.818   107.609
24355.0     22.623   107.581
24709.2     23.429   107.493
25068.6     24.234   107.356
25433.2     25.040   107.180
25803.2     25.846   106.970
26178.5     26.651   106.732
26559.3     27.457   106.471
26945.6     28.263   106.191
27337.5     29.069   105.894
27735.2     29.875   105.584
28138.6     30.681   105.262
28547.9     31.487   104.930
28963.1     32.293   104.591
29384.4     33.099   104.245
29811.8     33.905   103.895
30245.4     34.711   103.540
30685.3     35.517   103.184
31131.7     36.323   102.825
31584.5     37.129   102.466
32043.9     37.935   102.106
32510.0     38.741   101.747
32982.8     39.548   101.389
33462.6     40.354   101.033
33949.3     41.160   100.679
34443.1     41.966   100.327
34944.1     42.772    99.978
35452.4     43.578    99.633
35968.0     44.385    99.291
36491.2     45.191    98.952
37022.0     45.997    98.618
37560.5     46.803    98.288
38106.8     47.597    97.995
38661.1     48.354    97.736
39223.4     48.923    97.548
39793.9     49.306    97.405
